"ID","trial","first_attack","outcome","attack_position","attack_position2","species","age","treatment","place","illuminant","background","coord","experiment","video","date"
"63","34","Claw",1,"lateral","left","bush_turkey","adult","C","captain_burke_park","shade","mud_cloth","-27.464930, 153.034856","definitive",NA,2024-05-31
"64","34","Carapace",0,"lateral","left","bush_turkey","adult","C","captain_burke_park","shade","mud_cloth","-27.464930, 153.034856","definitive",NA,2024-05-31
"65","34","Claw",1,"front","front","bush_turkey","adult","C","captain_burke_park","shade","mud_cloth","-27.464930, 153.034856","definitive",NA,2024-05-31
"66","34","Claw",1,"lateral","right","bush_turkey","adult","A","captain_burke_park","shade","mud_cloth","-27.464930, 153.034856","definitive",NA,2024-05-31
"67","34","Carapace",0,"back","back","bush_turkey","adult","A","captain_burke_park","shade","mud_cloth","-27.464930, 153.034856","definitive",NA,2024-05-31
"68","35","Carapace",0,"back","back","bush_turkey","adult","C","captain_burke_park_south","shade","mud_cloth","-27.465852,153.034098","definitive",NA,2024-05-31
"69","35","Carapace",0,"lateral","left","bush_turkey","adult","C","captain_burke_park_south","shade","mud_cloth","-27.465852,153.034098","definitive",NA,2024-05-31
"70","35","Claw",1,"back","back","bush_turkey","adult","C","captain_burke_park_south","shade","mud_cloth","-27.465852,153.034098","definitive",NA,2024-05-31
"71","36","Claw",1,"back","back","bush_turkey","adult","C","captain_burke_park_south","shade","mud_cloth","-27.465147,153.034666","definitive",NA,2024-05-31
"72","36","Carapace",0,"lateral","right","bush_turkey","adult","A","captain_burke_park_south","shade","mud_cloth","-27.465147,153.034666","definitive",NA,2024-05-31
"73","36","Carapace",0,"front","front","bush_turkey","adult","A","captain_burke_park_south","shade","mud_cloth","-27.465147,153.034666","definitive",NA,2024-05-31
"74","36","Claw",1,"lateral","left","bush_turkey","adult","C","captain_burke_park_south","shade","mud_cloth","-27.465147,153.034666","definitive",NA,2024-05-31
"75","36","Claw",1,"back","back","bush_turkey","adult","C","captain_burke_park_south","shade","mud_cloth","-27.465147,153.034666","definitive",NA,2024-05-31
"76","36","Claw",1,"back","back","bush_turkey","adult","C","captain_burke_park_south","shade","mud_cloth","-27.465147,153.034666","definitive",NA,2024-05-31
"77","37","Claw",1,"front","front","bush_turkey","adult","C","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.476785,152.978979","definitive",NA,2024-06-02
"78","37","Carapace",0,"lateral","right","bush_turkey","adult","C","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.476785,152.978979","definitive",NA,2024-06-02
"79","38","Claw",1,"front","front","bush_turkey","adult","C","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.477484,152.978106","definitive",NA,2024-06-02
"80","38","Carapace",0,"back","back","bush_turkey","adult","A","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.477484,152.978106","definitive",NA,2024-06-02
"81","39","Claw",1,"front","front","bush_turkey","adult","C","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.476308,152.974785","definitive",NA,2024-06-02
"82","39","Carapace",0,"lateral","left","bush_turkey","adult","C","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.476308,152.974785","definitive",NA,2024-06-02
"83","40","Claw",1,"lateral","left","bush_turkey","adult","C","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.477484,152.978106","definitive",NA,2024-06-02
"84","41","Claw",1,"back","back","bush_turkey","adult","A","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.476971,152.980223","definitive",NA,2024-06-02
"85","42","Claw",1,"lateral","right","bush_turkey","adult","C","simpsons_playground_reserve","shade","mud_cloth","-27.523046,152.993109","definitive",NA,2024-06-03
"86","42","Carapace",0,"lateral","left","bush_turkey","adult","C","simpsons_playground_reserve","shade","mud_cloth","-27.523046,152.993109","definitive",NA,2024-06-03
"87","43","Claw",1,"lateral","right","bush_turkey","adult","C","simpsons_playground_reserve","shade","mud_cloth","-27.523759,152.991854","definitive",NA,2024-06-03
"88","44","Claw",1,"lateral","right","bush_turkey","adult","A","simpsons_playground_reserve","shade","mud_cloth","-27.523046,152.993109","definitive",NA,2024-06-03
"89","44","Claw",1,"lateral","right","bush_turkey","adult","C","simpsons_playground_reserve","shade","mud_cloth","-27.523046,152.993109","definitive",NA,2024-06-03
"90","45","Claw",1,"back","front","bush_turkey","adult","C","simpsons_playground_reserve","shade","mud_cloth","-27.523727,152.993198","definitive",NA,2024-06-03
"91","45","Carapace",0,"front","front","bush_turkey","adult","C","simpsons_playground_reserve","shade","mud_cloth","-27.523727,152.993198","definitive",NA,2024-06-03
"92","46","Carapace",0,"back","back","bush_turkey","adult","A","simpsons_playground_reserve","direct_sunlight","mud_cloth","-27.523759,152.991854","definitive",NA,2024-06-03
"93","47","Carapace",0,"front","front","bush_turkey","adult","D","captain_burke_park","shade","mud_cloth","-27.464707,153.035232","definitive",NA,2024-06-15
"94","47","Carapace",0,"lateral","right","bush_turkey","adult","D","captain_burke_park","shade","mud_cloth","-27.464707,153.035232","definitive",NA,2024-06-15
"95","48","Carapace",0,"back","back","bush_turkey","adult","D","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.476608,152.980305","definitive",NA,2024-06-16
"96","49","Carapace",0,"lateral","right","bush_turkey","adult","C","UQ","shade","mud_cloth","-27.498809,153.012657","definitive",NA,2024-06-22
"97","50","Carapace",0,"back","back","bush_turkey","adult","C","UQ","shade","mud_cloth","-27.493655,153.013470","definitive",NA,2024-06-22
"98","51","Carapace",0,"front","front","bush_turkey","adult","C","UQ","shade","mud_cloth","-27.497436,153.015058","definitive",NA,2024-06-22
"99","51","Carapace",0,"back","back","bush_turkey","adult","C","UQ","shade","mud_cloth","-27.497436,153.015058","definitive",NA,2024-06-22
"100","42","Claw",1,"back","back","bush_turkey","adult","C","UQ","shade","mud_cloth","-27.495984,153.011353","definitive",NA,2024-06-22
