"wl","001_areia","001_gv_wy_cara_ti","001_gv_wy_caraspot_ti","001_gv_wy_dact_ti","001_gv_wy_ponta_ti","001_gv_wy_prop_ti","001_laranja","001_pano","001_preto","001_rosa","002_areia","002_laranja","002_pano","002_preto","002_rosa","003_areia","003_gv_wy_cara_ti","003_gv_wy_ponta_ti","003_gv_wy_prop_ti","003_laranja","003_pano","003_preto","003_rosa","004_gv_wy_cara_ti","004_gv_wy_dact_ti","004_gv_wy_ponta_ti","004_gv_wy_prop_ti"
327,3.94188280779904,22.9015118184689,14.8457801003349,18.5533884107177,19.4173310852632,6.52257746564593,1.23172279483254,4.93773673038278,9.85205214665072,12.9878006680383,3.93755053550239,4.00474395521531,6.24603269899522,2.77637872789474,4.50366618210526,3.59230434277512,7.41359762626794,10.5890969564115,11.0276152899043,4.51009582593301,7.45828995181818,5.92493744047847,4.60203543722488,15.3704731146411,21.4236698888995,10.1952595704306,18.7809190331579
328,3.95142322865385,22.8528028098077,14.9138550535096,18.6503250879327,19.4116635990865,6.46303293884615,1.23592034961538,4.96338635543269,9.83268532572115,12.9487557821154,3.94861268221154,3.99706912432692,6.26765297600962,2.77988111019231,4.49930296692308,3.61594547346154,7.36461555754808,10.5744133696154,10.9122957762019,4.51043995259615,7.49679339548077,5.92263839658654,4.586944435,15.2969058210577,21.5032941438462,10.1429585163942,18.7702152772596
329,3.97069326302885,22.7717185308654,14.9827172841346,18.6611831695673,19.4132167172596,6.44583374663461,1.23476633418269,4.99817449990385,9.80661288014423,12.9142719782692,3.97247741038462,3.98836092774039,6.29713394509615,2.78935791975962,4.49635120293269,3.63151305014423,7.30906615086539,10.5665857355288,10.8487678815385,4.50827533754808,7.53660222677885,5.92065660908654,4.58540274629808,15.2428654724038,21.5867480229327,10.0963746299038,18.7988270871635
330,3.98109134746411,22.7283559214833,15.0209758015789,18.7290539769856,19.4015082499522,6.47120730339713,1.23726724,5.03962699196172,9.78810085550239,12.8754110521531,4.00390624669856,3.99599567277512,6.33465144248804,2.79278656363636,4.5038346115311,3.65458266411483,7.30990178057416,10.5502074617225,10.8019110300957,4.51032852732057,7.58581574913876,5.91510415842105,4.59042118545455,15.2066811617703,21.6934786011962,10.0553915445933,18.8522335922967
331,3.99844217311005,22.7305492919139,15.1078818732536,18.7917803019617,19.4086081130144,6.45916808521531,1.23996783411483,5.07421416277512,9.77372670736842,12.8344204102871,4.03029157947368,3.98989208416268,6.36230566923445,2.79050335449761,4.49291109875598,3.67619583665072,7.26667792186603,10.5646568419617,10.7511794547368,4.50738919636364,7.635640924689,5.89812262588517,4.57655254282297,15.2091343856459,21.7781974988038,10.0101203021053,18.8870406374641
332,4.01407167511962,22.6797170338756,15.1726252253589,18.8309014331101,19.4520010308612,6.45882523291866,1.23344135679426,5.10511124090909,9.74124423014354,12.7909065583254,4.05627509822967,3.98593483507177,6.38928215425837,2.78623300555024,4.49131271837321,3.70029847373206,7.22812666100478,10.5740382419617,10.6724372026794,4.49398040822967,7.67928120392345,5.88109659421053,4.57062658755981,15.1659016949282,21.8744270644019,9.94489848368421,18.9607015452632
333,4.03121404331731,22.7175391757212,15.2711633971635,18.9395327301442,19.4804674721154,6.48718117057692,1.24202680336538,5.14502173264423,9.72058673990385,12.7642093740865,4.09429155716346,3.987167524375,6.41259085447115,2.79323761836538,4.50253624783654,3.72590593557692,7.23126379225962,10.5905451101442,10.5965341619712,4.49428973076923,7.72583948807692,5.88317931110577,4.57334235596154,15.1706233266827,21.9879096622596,9.92245112543269,19.01880862125
334,4.03572166865385,22.7305206807692,15.3395108967308,18.9455464055769,19.5012420576923,6.44604219480769,1.23776581423077,5.16999780942308,9.68330892711538,12.7292756109615,4.10813918961539,3.97503112634615,6.43940240807692,2.78684362634615,4.49056383557692,3.74003658461538,7.1516778775,10.5777765492308,10.4508798782692,4.47923810211538,7.76128457442308,5.86643119057692,4.55763216846154,15.1086919721154,22.0743269051923,9.82019712519231,19.0371815548077
335,4.04740721778846,22.7338785984135,15.4397137603846,19.0209745411538,19.5243008845192,6.46811078644231,1.23767899125,5.20449969009615,9.64669869745192,12.7129141047115,4.12454635081731,3.97254018384615,6.47466077701923,2.77787385322115,4.49180284427885,3.76131629576923,7.14122501019231,10.6136971907212,10.3746787269231,4.47086001326923,7.80522293543269,5.86144857269231,4.55709356456731,15.064169246875,22.2321444750962,9.76100752975962,19.1243803263942
336,4.06672632788462,22.6783473447115,15.5262218945192,19.11114560125,19.5585855299038,6.48524933461539,1.25097512288462,5.23753129490385,9.63537694884615,12.6972796794231,4.15056881875,3.97640520528846,6.51636070009615,2.78710483144231,4.50467348990385,3.79460341259615,7.12685953548077,10.599681895,10.3306764856731,4.47623654625,7.85467154528846,5.86325696855769,4.56328951355769,15.0117120372115,22.3532355720192,9.73303214192308,19.1887360278846
337,4.07138259923077,22.6369757232212,15.5933571800962,19.193322248125,19.5538657526442,6.48813605894231,1.25118376033654,5.26669265927885,9.61022730826923,12.6669569875962,4.16935939586538,3.96533070644231,6.54409524548077,2.77263018528846,4.50300699480769,3.807988755,7.09299948634616,10.5920687623558,10.2732928300962,4.47070927197115,7.89386223466346,5.84825588625,4.56720829144231,14.9971008761538,22.4765423409615,9.66948280461539,19.2256300132692
338,4.07911941730769,22.6250714626923,15.6494646265385,19.2849340970192,19.5612790396635,6.50429589278846,1.26159870634615,5.30089972024039,9.59682288870192,12.6598300627404,4.18950389697115,3.97015449317308,6.5799214825,2.77099823341346,4.51754181826923,3.82718784942308,7.06039848254808,10.5790167347115,10.1830859528365,4.47062637019231,7.94591443894231,5.85079355105769,4.57510173418269,14.9854278824038,22.5810607101923,9.60081386427884,19.2862926979327
339,4.09392709947115,22.5647238106731,15.7280698203365,19.392697228125,19.587671268125,6.48601150278846,1.26642091865385,5.33779097673077,9.58271616653846,12.6349697799519,4.21184055326923,3.96320194326923,6.59837446264423,2.76973433860577,4.52889220774038,3.848836491875,7.03494999879808,10.5684890525,10.1419867872596,4.471674055,7.987984114375,5.84246143860577,4.58773257673077,14.9170747880769,22.7136154049038,9.57918646384615,19.3108082910096
340,4.10189789802885,22.5507148281731,15.8134936874038,19.5006243113462,19.6014898969712,6.49669578557692,1.26201348884615,5.36759882317308,9.561890245,12.6162073579808,4.23591711653846,3.96244962591346,6.61809722298077,2.77474672860577,4.53672989081731,3.85863350072115,7.03139787629808,10.5764959194712,10.0783534640865,4.47095019889423,8.01779637817308,5.83104926927885,4.59938835865385,14.8945781710577,22.8238949275481,9.51776999548077,19.3156114945673
341,4.11440933299517,22.5557121737198,15.8868602497585,19.5871898433816,19.6152472003865,6.50599155048309,1.25627782188406,5.40715997961353,9.54091617512077,12.6216508510628,4.2543936852657,3.96218215193237,6.64571428618357,2.76862250690821,4.55535517714976,3.87240565381642,7.00815350028985,10.5837103766184,10.0276455469565,4.4684739394686,8.06388852932367,5.83121527772947,4.61037666560386,14.8468517478261,22.9341794939613,9.45722174884058,19.3841336512077
342,4.12957672875,22.5243289931731,15.9646137377885,19.6228438170192,19.6427158120192,6.49935625413462,1.25115442711538,5.43359289067308,9.51518028461538,12.618095035,4.27287460307692,3.95906846355769,6.66712200663462,2.76445159903846,4.56965301413461,3.89244553298077,7.00289472009615,10.5822576582692,9.97864611942308,4.46084941865385,8.09479087192308,5.82119773509615,4.62489033307692,14.7798915007692,23.0304095642308,9.41227591259615,19.4352078674038
343,4.14227847668269,22.5284414042788,16.0571083889423,19.7296443224519,19.6482966545673,6.50566553807692,1.24830332586538,5.45547570326923,9.49627051067308,12.6273462648077,4.29799829408654,3.95150914990385,6.68888517846154,2.75788389471154,4.59299424,3.91189956581731,6.98751091341346,10.6001814079327,9.96955030149038,4.45750569177885,8.12769485394231,5.81442247716346,4.64472583004808,14.7329119177885,23.1128227002404,9.33748248014423,19.5002047276442
344,4.16581349557692,22.52934464,16.1565187740385,19.8096993605769,19.6671353678846,6.49151049980769,1.25843804326923,5.48836057557692,9.48390904134615,12.6397981444231,4.32713480096154,3.95456278903846,6.71878170269231,2.75824404461538,4.62610838230769,3.94441680788462,6.94630112153846,10.6335864992308,9.90360108923077,4.45823228538462,8.16322853538462,5.81420315903846,4.67067777692308,14.6476230030769,23.2293123259615,9.27968510519231,19.5056347928846
345,4.17600814429952,22.5324585055556,16.2037947328986,19.8758949500966,19.6865731435266,6.47471612695652,1.26067300458937,5.50949382487923,9.4611811689372,12.6516952398068,4.34876954971014,3.95520114352657,6.74058019062802,2.75531079178744,4.65231140067633,3.9679741447343,6.92268848676329,10.6198938875362,9.86150091903382,4.45539443144928,8.20027330555556,5.81231526371981,4.69874843859903,14.609690343285,23.3260675655072,9.23451876371981,19.532566535942
346,4.18647988086538,22.5102256016346,16.2835258585577,19.9829198874519,19.7112316207692,6.45726387115385,1.26353864264423,5.53326528995192,9.44812181716346,12.6735454073077,4.37882596879808,3.953122929375,6.76709787668269,2.76117076769231,4.68781566149038,3.99186736201923,6.90961768336538,10.6329416249519,9.78216556269231,4.45916552725962,8.24034232168269,5.81265623894231,4.73264734980769,14.5530795122596,23.4067773017788,9.18789515043269,19.5356720419712
347,4.19306917913462,22.4658664947596,16.35262050625,20.0639409210577,19.7691915805288,6.47423175985577,1.26367318966346,5.55409452173077,9.41756475692308,12.6890401905288,4.39870031509615,3.95402054403846,6.78309866600962,2.75530991644231,4.71105515884615,4.01035384740385,6.87637290447115,10.6246524504327,9.73533071052885,4.46219361552885,8.27614254004808,5.80786580605769,4.76298408956731,14.5263756486538,23.5022847154808,9.17175827427885,19.5515505952885
348,4.19636375625,22.3863361262981,16.4081230854808,20.1152930166346,19.7931737689423,6.46568118197115,1.26397889543269,5.57449546192308,9.38636001163461,12.7037220952885,4.41850101639423,3.95071188418269,6.79853844908654,2.74764662317308,4.73994636418269,4.02513398956731,6.86571246908654,10.5963889821635,9.70500057932692,4.46251968524038,8.30258733139423,5.79807758211538,4.79910163110577,14.4889094177404,23.6251995727404,9.11226628384615,19.5683203659615
349,4.21083438875,22.3654512627885,16.4863435371635,20.199956219375,19.8091744004808,6.47949158384615,1.27237150572115,5.600183649375,9.366381581875,12.7406607295673,4.45055127860577,3.96103849975962,6.82575156831731,2.75414612913462,4.79341274110577,4.05038366591346,6.86276005793269,10.6276306795673,9.72268938620192,4.47015978509615,8.33012226091346,5.79907403004808,4.85814953326923,14.4625867008654,23.7342588057212,9.08925046975962,19.6192450549038
350,4.21934872019324,22.3010137660386,16.5572966939614,20.2597481154589,19.8327452839614,6.50920906584541,1.27431205125604,5.62658764608696,9.34593979410628,12.7738382813043,4.46328863980676,3.96506840072464,6.84085741516908,2.75129011188406,4.83678508560386,4.06943238603865,6.88258680454106,10.6291276803382,9.78202822801932,4.47608093169082,8.36420010487923,5.78785449048309,4.91434083565217,14.460729525314,23.8855196668599,9.08448771536232,19.6975634172464
