"wl","gv_q_Reflection_00002","orange_paint-4g_ba-5g_Reflection_001","orange_paint_kaisercraft_pure_Reflection_001"
407,7.2934697122439,27.4670724280976,6.18053967053659
408,7.33245215365854,27.3248163360976,6.23241484414634
409,7.38876686617647,27.1616219082353,6.20602139818627
410,7.412947615,27.01679895,6.2134612425
411,7.43668403588235,26.8155174311765,6.21888578411765
412,7.47309823485294,26.59749053,6.1411319067647
413,7.47836776053922,26.4348909397549,6.1133725257353
414,7.47185836294117,26.1771864809804,6.02800159627451
415,7.51025703764706,26.0031004786275,5.96413598215686
416,7.52943366,25.8761070535294,5.88479694352941
417,7.54970758166667,25.7189803871569,5.84484514485294
418,7.59926055980392,25.6057703144118,5.81854558352941
419,7.62236782705882,25.5106341317647,5.77272322411765
420,7.62205700352941,25.4011610713726,5.7750566927451
421,7.65955578359606,25.304074772069,5.74252539502463
422,7.67845563172414,25.22458178133,5.72840685793103
