"wl","000_bkg_leptodactyla","000_bkg_maracoani","000_bkg_panema","000_bkg_rapax","000_bkg_thayeri"
338,4.42733333333333,3.24602640253911,3.92533291784417,4.93062317116063,5.63025530405445
339,4.44333333333333,3.29165481061257,3.90188655661598,4.91341422321186,5.8535869190592
340,4.44618181818182,3.3218230580029,3.89595508047908,4.97318910968563,5.82640669775742
341,4.45028571428571,3.36859604024373,3.8979913165186,5.0363905195671,5.87673765110029
342,4.47033333333333,3.34816752309324,3.92732097592443,5.09012509513734,5.93428280638241
343,4.47171428571429,3.32447312906415,3.93903254842153,5.34578387879746,6.16298395025197
344,4.47047619047619,3.31581709215035,3.97042092129901,5.17271025482641,6.10734208596408
345,4.485,3.34987718963432,4.04568257132557,5.05154310885788,5.94084113802135
346,4.49952380952381,3.36119817509744,4.05430427139917,5.09592354429133,6.06752832402285
347,4.52147619047619,3.38111467971476,4.08913670730329,5.12579342209342,5.94876775475682
348,4.52952380952381,3.3783337628671,4.09730951652267,4.96240278733073,5.893413110475
349,4.54928571428571,3.35182572543677,4.07968225604967,4.69570623331393,5.75816624603671
350,4.57528571428572,3.3733062561363,4.06601263078004,4.81687482105068,5.87034135730867
351,4.59,3.38062321676696,4.10927422539997,4.90268503777639,5.88125950323936
352,4.574,3.34769165359097,4.102890543337,4.70337189910674,5.69867338770654
353,4.575,3.30630209058626,4.11210163490861,4.84114490290618,5.84078489519735
354,4.52771428571428,3.3651211698416,4.15822706967282,4.97115795647339,6.20026310029902
355,4.54633333333333,3.43989877979451,4.19578900422,4.77851441942076,6.10978286845784
356,4.56528571428572,3.42775422195331,4.17561521028691,5.00755796925814,6.21754814138208
357,4.66519047619048,3.40867453237849,4.51064514574548,4.9703161198717,6.32177298816913
358,4.665,3.44519929523626,4.50515762031114,4.91130219233399,6.27148643994839
359,4.68175,3.45263517322997,4.17921099755811,5.08168579767023,6.27152000618787
360,4.68595238095238,3.45863146843379,4.21494019094119,5.07807195352172,5.9622439548729
361,4.72771428571429,3.46196557993954,4.25958823819184,5.07240735766002,6.00968850606214
362,4.74228571428571,3.49097895550174,4.25780181040151,5.19687029393127,6.12342264149439
363,4.74809523809524,3.56013113700495,4.22148417870533,5.30753636885634,6.31619949606187
364,4.78271428571429,3.52308788966625,4.18661900648147,5.11339140361546,6.20656830598975
365,4.7891,3.48648165749399,4.2496560880761,4.88173923669711,6.02410246661585
366,4.80557142857143,3.50527384796746,4.27445774362251,5.04211305024638,5.81185586621844
367,4.84485714285714,3.5144325325442,4.25113103987875,4.90023634776315,5.44170951473415
368,4.816,3.52891585215401,4.24485635373351,5.1028475118777,5.54039199164621
369,4.80447619047619,3.51030725100584,4.21712459515396,5.01822533552854,5.52264713277695
370,4.81828571428572,3.559484543854,4.19251455486005,5.29047086119387,5.69912438268444
371,4.888,3.60448191916157,4.24647861965567,5.52000701246875,5.82008534642377
372,4.88828571428571,3.57110910524131,4.29681641642082,5.34683813571955,5.84869269979826
373,4.91685714285714,3.54103451888876,4.30818311819087,4.956404151365,5.66079285619349
374,4.93561904761905,3.5861005714063,4.31974686004773,5.04884310998257,5.82162332712261
375,4.95871428571429,3.57775629444061,4.31347254679124,5.13818209346236,6.02458815662829
376,4.96033333333333,3.5652439121932,4.35469531718043,5.42361160770936,6.28831195467117
377,5.009,3.55853444828942,4.34101060764082,5.30129822812279,6.08982552266034
378,5.04033333333333,3.57843962759965,4.31881578132537,5.23121785551565,5.61430090614912
379,5.0725,3.61397146128664,4.35095994383614,5.20440006206156,5.51900721930255
380,5.07647619047619,3.63008701911463,4.39202936036315,5.13476976418526,5.60776299073353
381,5.07233333333333,3.60753024342504,4.35495409022992,5.01230284239173,5.42172063398304
382,5.07833333333333,3.62674811957937,4.30593260995521,5.23707141825467,5.83991898781186
383,5.0877619047619,3.6210077713458,4.38214037328683,5.22132358158665,5.80464869164524
384,5.10342857142857,3.59110267309874,4.41737745166715,5.3567336247281,6.13595232229436
385,5.13104761904762,3.69307270705186,4.53144989723915,6.00340621787209,6.71617470657858
386,5.15471428571429,3.66601063855839,4.48843394996154,5.66524946062508,6.80969801804379
387,5.27066666666667,3.59662430242643,4.44263526825284,4.98496081562925,6.02876746457943
388,5.31061904761905,3.6615522122901,4.44157766262597,5.1256653305421,5.98027463609041
389,5.267,3.61759017818308,4.46046795611936,5.23945951466173,5.62850000215428
390,5.21047619047619,3.56193208238634,4.48752651588274,4.94633772324372,5.44454421818201
391,5.28976190476191,3.59850838787631,4.50927135401437,5.27228672625987,5.76592401447195
392,5.31657142857143,3.66851123888593,4.50657105460763,5.42989114867703,5.90591875239969
393,5.32733333333333,3.66366365159387,4.54575949372183,5.1846902740283,5.85250725961943
394,5.324,3.67202673235362,4.5678199502399,5.51986508093451,6.18837707336155
395,5.33528571428571,3.65243490539084,4.49235380020139,5.57483489235451,6.54693483897958
396,5.39033333333333,3.60207748154922,4.49776971113603,5.20148856577446,6.19664793754005
